Orthologous Cluster ID,Species,ENSEMBL ID,Gene,Expression,log2 Fold Change,FDR
HS3131,Homo sapiens,ENSG00000177721,ANXA2R,up_regulated,3.74861,3.99E-38
HS11411,Homo sapiens,ENSG00000034677,RNF19A,up_regulated,1.04909,1.16E-09
HS9863,Homo sapiens,ENSG00000247095,MIR210HG,up_regulated,0.572224,0.0363667
HS10924,Homo sapiens,ENSG00000204217,BMPR2,up_regulated,0.833701,7.07E-09
HS12641,Homo sapiens,ENSG00000263648,RP11-471L13.3,up_regulated,1.18957,2.15E-07
HS12546,Homo sapiens,ENSG00000106829,TLE4,up_regulated,1.30283,6.38E-17
HS8064,Homo sapiens,ENSG00000134259,NGF,up_regulated,0.772131,0.00936889
HS3380,Homo sapiens,ENSG00000123104,ITPR2,up_regulated,0.517464,0.0107121
HS1628,Homo sapiens,ENSG00000162944,RFTN2,up_regulated,1.15789,5.35E-07
HS12758,Homo sapiens,ENSG00000136048,DRAM1,up_regulated,0.502071,0.00187061
HS1127,Homo sapiens,ENSG00000266970,RP11-806H10.4,up_regulated,2.69278,7.06E-15
HS4531,Homo sapiens,ENSG00000173762,CD7,up_regulated,3.59915,0
HS14003,Homo sapiens,ENSG00000266907,AC006116.22,up_regulated,1.00008,0.00317474
HS4451,Homo sapiens,ENSG00000137460,FHDC1,up_regulated,1.73565,1.08E-07
HS11522,Homo sapiens,ENSG00000207870,MIR221,up_regulated,0.603399,0.0354026
HS3671,Homo sapiens,ENSG00000267390,RP11-635N19.1,up_regulated,0.958149,0.00403811
HS9438,Homo sapiens,ENSG00000166886,NAB2,up_regulated,0.520638,4.34E-04
HS8810,Homo sapiens,ENSG00000068079,IFI35,up_regulated,4.10312,0
HS10674,Homo sapiens,ENSG00000111913,FAM65B,up_regulated,0.986514,5.34E-09
HS1306,Homo sapiens,ENSG00000204622,HLA-J,up_regulated,0.915928,0.00843554
HS3334,Homo sapiens,ENSG00000126368,NR1D1,up_regulated,1.36314,3.45E-15
HS9398,Homo sapiens,ENSG00000120063,GNA13,up_regulated,0.596598,5.97E-04
HS2561,Homo sapiens,ENSG00000069974,RAB27A,up_regulated,0.810157,3.02E-05
HS9946,Homo sapiens,ENSG00000138190,EXOC6,up_regulated,2.07254,2.52E-15
HS11319,Homo sapiens,ENSG00000136492,BRIP1,up_regulated,3.4545,8.52E-37
HS11261,Homo sapiens,ENSG00000167705,RILP,up_regulated,0.94079,1.07E-05
HS13923,Homo sapiens,ENSG00000185215,TNFAIP2,up_regulated,0.90756,1.12E-08
HS14403,Homo sapiens,ENSG00000141497,ZMYND15,up_regulated,5.98947,0
HS13380,Homo sapiens,ENSG00000170385,SLC30A1,up_regulated,1.05247,2.10E-13
HS13225,Homo sapiens,ENSG00000138642,HERC6,up_regulated,6.41497,0
HS12833,Homo sapiens,ENSG00000181126,HLA-V,up_regulated,2.16307,6.36E-10
HS2312,Homo sapiens,ENSG00000145623,OSMR,up_regulated,0.433756,0.00393295
HS5060,Homo sapiens,ENSG00000258461,RP11-164J13.1,up_regulated,1.46379,2.33E-06
HS14044,Homo sapiens,ENSG00000134324,LPIN1,up_regulated,0.754684,3.78E-07
HS6936,Homo sapiens,ENSG00000188643,S100A16,up_regulated,0.521628,2.85E-04
HS1861,Homo sapiens,ENSG00000213719,CLIC1,up_regulated,0.586838,4.42E-05
HS696,Homo sapiens,ENSG00000062194,GPBP1,up_regulated,1.19811,1.00E-13
HS11647,Homo sapiens,ENSG00000084676,NCOA1,up_regulated,0.652752,8.08E-05
HS8048,Homo sapiens,ENSG00000085832,EPS15,up_regulated,0.45657,0.00524402
HS5746,Homo sapiens,ENSG00000030066,NUP160,up_regulated,0.785422,2.06E-07
HS1600,Homo sapiens,ENSG00000125398,SOX9,up_regulated,0.979128,5.10E-05
HS9387,Homo sapiens,ENSG00000169118,CSNK1G1,up_regulated,0.779856,1.24E-05
HS13252,Homo sapiens,ENSG00000128016,ZFP36,up_regulated,0.719547,1.97E-04
HS4537,Homo sapiens,ENSG00000187210,GCNT1,up_regulated,2.4399,1.10E-26
HS3929,Homo sapiens,ENSG00000165156,ZHX1,up_regulated,0.786231,2.84E-07
HS8489,Homo sapiens,ENSG00000102287,GABRE,up_regulated,0.334736,0.0408589
HS3480,Homo sapiens,ENSG00000102871,TRADD,up_regulated,1.07351,5.21E-10
HS8716,Homo sapiens,ENSG00000107140,TESK1,up_regulated,0.501231,0.018051
HS451,Homo sapiens,ENSG00000214106,PAXIP1-AS2,up_regulated,1.49558,3.72E-15
HS13237,Homo sapiens,ENSG00000102780,DGKH,up_regulated,0.489597,0.0141863
HS4175,Homo sapiens,ENSG00000214013,GANC,up_regulated,0.683684,1.46E-05
HS5586,Homo sapiens,ENSG00000206190,ATP10A,up_regulated,1.5802,1.63E-29
HS5108,Homo sapiens,ENSG00000118503,TNFAIP3,up_regulated,0.958982,1.08E-09
HS7829,Homo sapiens,ENSG00000105643,ARRDC2,up_regulated,0.417524,0.0199749
HS8325,Homo sapiens,ENSG00000175550,DRAP1,up_regulated,0.468488,0.00723237
HS2487,Homo sapiens,ENSG00000132879,FBXO44,up_regulated,0.646565,2.32E-04
HS9616,Homo sapiens,ENSG00000148498,PARD3,up_regulated,1.39388,2.16E-22
HS124,Homo sapiens,ENSG00000105829,BET1,up_regulated,0.446744,0.0231523
HS8200,Homo sapiens,ENSG00000240857,RDH14,up_regulated,0.914997,5.39E-06
HS4053,Homo sapiens,ENSG00000171051,FPR1,up_regulated,0.895049,0.00403847
HS1651,Homo sapiens,ENSG00000100784,RPS6KA5,up_regulated,2.0101,2.98E-16
HS2055,Homo sapiens,ENSG00000021762,OSBPL5,up_regulated,0.628262,6.84E-05
HS7847,Homo sapiens,ENSG00000215007,DNAJA1P3,up_regulated,1.49043,1.73E-16
HS4584,Homo sapiens,ENSG00000132256,TRIM5,up_regulated,3.03655,0
HS4755,Homo sapiens,ENSG00000131943,C19orf12,up_regulated,1.14723,1.11E-13
HS12618,Homo sapiens,ENSG00000110057,UNC93B1,up_regulated,1.54798,2.31E-19
HS11961,Homo sapiens,ENSG00000261971,MMP25-AS1,up_regulated,1.11073,1.92E-05
HS14033,Homo sapiens,ENSG00000204010,IFIT1B,up_regulated,7.27822,0
HS6125,Homo sapiens,ENSG00000171813,PWWP2B,up_regulated,0.504585,0.0352931
HS8156,Homo sapiens,ENSG00000173193,PARP14,up_regulated,5.13819,0
HS3055,Homo sapiens,ENSG00000241316,SUCLG2-AS1,up_regulated,0.731045,0.0112884
HS10726,Homo sapiens,ENSG00000155660,PDIA4,up_regulated,0.338139,0.0233548
HS5155,Homo sapiens,ENSG00000156500,FAM122C,up_regulated,1.73497,6.51E-14
HS3791,Homo sapiens,ENSG00000128052,KDR,up_regulated,0.828139,2.70E-04
HS10598,Homo sapiens,ENSG00000026103,FAS,up_regulated,1.17586,9.37E-13
HS7936,Homo sapiens,ENSG00000123240,OPTN,up_regulated,1.69261,1.28E-36
HS3713,Homo sapiens,ENSG00000187231,SESTD1,up_regulated,0.364292,0.0408304
HS743,Homo sapiens,ENSG00000230191,RP4-725G10.3,up_regulated,1.24677,3.27E-05
HS9534,Homo sapiens,ENSG00000184058,TBX1,up_regulated,0.671008,1.30E-04
HS2148,Homo sapiens,ENSG00000141753,IGFBP4,up_regulated,0.317562,0.0362354
HS13116,Homo sapiens,ENSG00000130813,C19orf66,up_regulated,2.97152,0
HS12692,Homo sapiens,ENSG00000175054,ATR,up_regulated,0.577916,6.91E-04
HS9973,Homo sapiens,ENSG00000083097,DOPEY1,up_regulated,0.900324,1.76E-06
HS14581,Homo sapiens,ENSG00000181722,ZBTB20,up_regulated,1.09769,1.28E-05
HS6458,Homo sapiens,ENSG00000142632,ARHGEF19,up_regulated,0.554321,0.00735413
HS4284,Homo sapiens,ENSG00000234277,CTD-2090I13.1,up_regulated,0.745456,0.0195182
HS11589,Homo sapiens,ENSG00000137965,IFI44,up_regulated,5.64144,0
HS11274,Homo sapiens,ENSG00000119138,KLF9,up_regulated,0.729799,2.41E-04
HS10789,Homo sapiens,ENSG00000164125,FAM198B,up_regulated,0.365614,0.0436575
HS13986,Homo sapiens,ENSG00000150867,PIP4K2A,up_regulated,0.497786,0.00307159
HS7915,Homo sapiens,ENSG00000184232,OAF,up_regulated,0.71853,1.24E-06
HS13581,Homo sapiens,ENSG00000153029,MR1,up_regulated,1.24987,9.12E-17
HS7399,Homo sapiens,ENSG00000136925,TSTD2,up_regulated,0.450598,0.0121681
HS3530,Homo sapiens,ENSG00000236098,RP11-148B18.4,up_regulated,5.21004,4.87E-27
HS1618,Homo sapiens,ENSG00000196422,PPP1R26,up_regulated,0.534789,0.0254666
HS10667,Homo sapiens,ENSG00000134285,FKBP11,up_regulated,0.465055,0.0130614
HS5571,Homo sapiens,ENSG00000151726,ACSL1,up_regulated,0.658415,5.69E-06
HS2853,Homo sapiens,ENSG00000163701,IL17RE,up_regulated,0.572964,0.0498214
HS3742,Homo sapiens,ENSG00000011422,PLAUR,up_regulated,0.4704,0.00212783
HS4940,Homo sapiens,ENSG00000198951,NAGA,up_regulated,0.515146,0.00119675
HS338,Homo sapiens,ENSG00000188811,NHLRC3,up_regulated,0.603185,0.00488401
HS4112,Homo sapiens,ENSG00000166923,GREM1,up_regulated,0.431289,0.0030989
HS7707,Homo sapiens,ENSG00000215284,RP11-198M15.1,up_regulated,0.614122,0.00345039
HS13263,Homo sapiens,ENSG00000065060,UHRF1BP1,up_regulated,3.06113,0
HS2757,Homo sapiens,ENSG00000164327,RICTOR,up_regulated,1.42448,1.47E-16
HS3563,Homo sapiens,ENSG00000111331,OAS3,up_regulated,6.17899,0
HS8262,Homo sapiens,ENSG00000102349,KLF8,up_regulated,0.765502,0.0395198
HS5221,Homo sapiens,ENSG00000126351,THRA,up_regulated,0.905707,9.45E-09
HS11442,Homo sapiens,ENSG00000184182,UBE2F,up_regulated,0.568982,0.00389169
HS9072,Homo sapiens,ENSG00000097033,SH3GLB1,up_regulated,1.08128,8.11E-14
HS13342,Homo sapiens,ENSG00000110492,MDK,up_regulated,0.956889,2.27E-08
HS2388,Homo sapiens,ENSG00000115839,RAB3GAP1,up_regulated,0.515384,2.95E-04
HS9259,Homo sapiens,ENSG00000134627,PIWIL4,up_regulated,1.15245,7.82E-07
HS4731,Homo sapiens,ENSG00000269069,CTC-471F3.5,up_regulated,0.97451,8.82E-05
HS3839,Homo sapiens,ENSG00000204267,TAP2,up_regulated,3.29872,0
HS10494,Homo sapiens,ENSG00000125378,BMP4,up_regulated,0.639256,0.00521359
HS10437,Homo sapiens,ENSG00000197757,HOXC6,up_regulated,0.352228,0.032477
HS10208,Homo sapiens,ENSG00000182704,TSKU,up_regulated,0.96627,3.03E-12
HS14379,Homo sapiens,ENSG00000137101,CD72,up_regulated,1.01664,3.16E-05
HS10066,Homo sapiens,ENSG00000172936,MYD88,up_regulated,3.5016,0
HS12745,Homo sapiens,ENSG00000171729,TMEM51,up_regulated,1.19828,3.57E-08
HS6536,Homo sapiens,ENSG00000255150,EID3,up_regulated,2.05706,9.71E-20
HS1538,Homo sapiens,ENSG00000157191,NECAP2,up_regulated,0.413574,0.00536956
HS12401,Homo sapiens,ENSG00000138646,HERC5,up_regulated,7.97965,0
HS8076,Homo sapiens,ENSG00000180891,CUEDC1,up_regulated,1.12762,7.67E-13
HS2904,Homo sapiens,ENSG00000137575,SDCBP,up_regulated,0.401109,0.0256165
HS10996,Homo sapiens,ENSG00000166068,SPRED1,up_regulated,0.543566,0.0223137
HS6632,Homo sapiens,ENSG00000172738,TMEM217,up_regulated,1.10219,1.49E-04
HS7925,Homo sapiens,ENSG00000111224,PARP11,up_regulated,0.580108,0.0194382
HS11455,Homo sapiens,ENSG00000228510,RP11-339B21.8,up_regulated,1.58412,2.44E-06
HS13780,Homo sapiens,ENSG00000168785,TSPAN5,up_regulated,0.839016,1.41E-09
HS11251,Homo sapiens,ENSG00000115216,NRBP1,up_regulated,1.16919,8.03E-20
HS2025,Homo sapiens,ENSG00000183726,TMEM50A,up_regulated,0.467315,0.00155745
HS14617,Homo sapiens,ENSG00000120690,ELF1,up_regulated,1.15669,4.05E-11
HS14050,Homo sapiens,ENSG00000139718,SETD1B,up_regulated,0.771521,3.58E-07
HS5265,Homo sapiens,ENSG00000178685,PARP10,up_regulated,2.92291,0
HS4621,Homo sapiens,ENSG00000092330,TINF2,up_regulated,1.32347,3.15E-19
HS8403,Homo sapiens,ENSG00000159884,CCDC107,up_regulated,0.485024,0.0109378
HS10023,Homo sapiens,ENSG00000120675,DNAJC15,up_regulated,0.404246,0.0474881
HS6122,Homo sapiens,ENSG00000245556,SCAMP1-AS1,up_regulated,2.4974,3.65E-34
HS6444,Homo sapiens,ENSG00000162878,PKDCC,up_regulated,1.75213,2.71E-24
HS7035,Homo sapiens,ENSG00000237276,ANO7P1,up_regulated,4.65844,0
HS3177,Homo sapiens,ENSG00000196116,TDRD7,up_regulated,3.67927,0
HS5517,Homo sapiens,ENSG00000141562,NARF,up_regulated,0.382553,0.031759
HS1156,Homo sapiens,ENSG00000163840,DTX3L,up_regulated,3.68273,0
HS5254,Homo sapiens,ENSG00000014138,POLA2,up_regulated,1.57649,1.81E-22
HS3784,Homo sapiens,ENSG00000255874,LINC00346,up_regulated,1.0415,0.00119675
HS9872,Homo sapiens,ENSG00000136859,ANGPTL2,up_regulated,0.430958,0.00432567
HS10312,Homo sapiens,ENSG00000058866,DGKG,up_regulated,1.51189,9.59E-06
HS8302,Homo sapiens,ENSG00000176771,NCKAP5,up_regulated,1.60023,8.18E-09
HS97,Homo sapiens,ENSG00000152582,SPEF2,up_regulated,0.880711,0.00124587
HS5728,Homo sapiens,ENSG00000009780,FAM76A,up_regulated,1.20386,1.41E-12
HS6621,Homo sapiens,ENSG00000163249,CCNYL1,up_regulated,1.06756,2.99E-09
HS4916,Homo sapiens,ENSG00000267102,RP11-686D22.7,up_regulated,1.83037,1.37E-15
HS1326,Homo sapiens,ENSG00000170381,SEMA3E,up_regulated,0.563786,0.04346
HS3987,Homo sapiens,ENSG00000204172,AGAP9,up_regulated,0.903334,0.00185723
HS3879,Homo sapiens,ENSG00000214922,HLA-F-AS1,up_regulated,0.867194,0.0041492
HS1258,Homo sapiens,ENSG00000198879,SFMBT2,up_regulated,1.8633,6.10E-13
HS11845,Homo sapiens,ENSG00000107175,CREB3,up_regulated,0.449898,0.00633737
HS5952,Homo sapiens,ENSG00000106034,CPED1,up_regulated,0.657498,9.33E-06
HS10873,Homo sapiens,ENSG00000103241,FOXF1,up_regulated,1.28177,8.01E-10
HS8068,Homo sapiens,ENSG00000105656,ELL,up_regulated,0.517465,0.00582765
HS6282,Homo sapiens,ENSG00000107897,ACBD5,up_regulated,0.87705,4.54E-06
HS11188,Homo sapiens,ENSG00000143337,TOR1AIP1,up_regulated,0.797599,4.27E-08
HS7759,Homo sapiens,ENSG00000173221,GLRX,up_regulated,1.90411,8.89E-27
HS12516,Homo sapiens,ENSG00000143537,ADAM15,up_regulated,0.366948,0.0468168
HS3214,Homo sapiens,ENSG00000174705,SH3PXD2B,up_regulated,0.454759,0.00139116
HS14686,Homo sapiens,ENSG00000123685,BATF3,up_regulated,5.24234,0
HS2173,Homo sapiens,ENSG00000176842,IRX5,up_regulated,0.45798,0.0386697
HS5648,Homo sapiens,ENSG00000137571,SLCO5A1,up_regulated,4.0487,7.81E-38
HS4650,Homo sapiens,ENSG00000099331,MYO9B,up_regulated,0.33998,0.0391532
HS10268,Homo sapiens,ENSG00000174564,IL20RB,up_regulated,1.23597,5.99E-09
HS6779,Homo sapiens,ENSG00000152332,UHMK1,up_regulated,0.502738,0.00120309
HS13784,Homo sapiens,ENSG00000163694,RBM47,up_regulated,1.16131,3.46E-07
HS1023,Homo sapiens,ENSG00000135318,NT5E,up_regulated,0.429939,0.00835618
HS9356,Homo sapiens,ENSG00000162924,REL,up_regulated,0.70125,0.0220996
HS7310,Homo sapiens,ENSG00000006327,TNFRSF12A,up_regulated,0.344149,0.0266542
HS1745,Homo sapiens,ENSG00000131979,GCH1,up_regulated,4.01485,0
HS14211,Homo sapiens,ENSG00000178927,C17orf62,up_regulated,0.886,4.72E-07
HS7852,Homo sapiens,ENSG00000119537,KDSR,up_regulated,0.500136,0.00190796
HS1196,Homo sapiens,ENSG00000124226,RNF114,up_regulated,1.75389,2.01E-41
HS3048,Homo sapiens,ENSG00000118197,DDX59,up_regulated,0.465868,0.0229174
HS9263,Homo sapiens,ENSG00000150991,UBC,up_regulated,0.743608,2.55E-07
HS13983,Homo sapiens,ENSG00000171860,C3AR1,up_regulated,6.5086,0
HS4237,Homo sapiens,ENSG00000156345,CDK20,up_regulated,0.878113,5.25E-07
HS125,Homo sapiens,ENSG00000173039,RELA,up_regulated,1.31685,8.50E-20
HS12122,Homo sapiens,ENSG00000261635,RP11-618N24.1,up_regulated,0.733528,0.0141653
HS14446,Homo sapiens,ENSG00000169504,CLIC4,up_regulated,0.763932,7.97E-07
HS3008,Homo sapiens,ENSG00000169155,ZBTB43,up_regulated,0.85496,3.66E-07
HS7942,Homo sapiens,ENSG00000139163,ETNK1,up_regulated,0.589065,0.00122282
HS5737,Homo sapiens,ENSG00000166452,AKIP1,up_regulated,0.610916,7.67E-04
HS12805,Homo sapiens,ENSG00000168685,IL7R,up_regulated,0.980877,0.0274082
HS5534,Homo sapiens,ENSG00000112297,AIM1,up_regulated,1.21393,5.43E-11
HS7569,Homo sapiens,ENSG00000118976,OTUD4P1,up_regulated,1.6744,1.84E-12
HS1917,Homo sapiens,ENSG00000103978,TMEM87A,up_regulated,0.694269,5.30E-05
HS10094,Homo sapiens,ENSG00000138606,SHF,up_regulated,0.630491,0.0298139
HS415,Homo sapiens,ENSG00000198113,TOR4A,up_regulated,0.647929,0.0066228
HS3869,Homo sapiens,ENSG00000253669,KB-1732A1.1,up_regulated,1.07342,2.07E-04
HS12428,Homo sapiens,ENSG00000163633,C4orf36,up_regulated,0.821832,0.0019562
HS4400,Homo sapiens,ENSG00000006747,SCIN,up_regulated,1.82752,2.18E-13
HS452,Homo sapiens,ENSG00000108771,DHX58,up_regulated,3.93928,0
HS13563,Homo sapiens,ENSG00000130758,MAP3K10,up_regulated,0.543817,0.0170336
HS11232,Homo sapiens,ENSG00000017427,IGF1,up_regulated,0.929486,0.00679458
HS11384,Homo sapiens,ENSG00000044459,CNTLN,up_regulated,0.483493,0.0486823
HS3478,Homo sapiens,ENSG00000139410,SDSL,up_regulated,1.19345,8.86E-08
HS7417,Homo sapiens,ENSG00000122786,CALD1,up_regulated,0.420887,0.00328548
HS7736,Homo sapiens,ENSG00000173175,ADCY5,up_regulated,1.37187,7.63E-08
HS7531,Homo sapiens,ENSG00000080815,PSEN1,up_regulated,0.579599,1.20E-04
HS10919,Homo sapiens,ENSG00000188060,RAB42,up_regulated,1.3066,8.77E-08
HS8987,Homo sapiens,ENSG00000082458,DLG3,up_regulated,1.41753,1.47E-15
HS2473,Homo sapiens,ENSG00000175183,CSRP2,up_regulated,0.489799,0.0306909
HS12220,Homo sapiens,ENSG00000148429,USP6NL,up_regulated,0.966652,5.74E-09
HS6422,Homo sapiens,ENSG00000149798,CDC42EP2,up_regulated,1.58962,1.64E-25
HS8018,Homo sapiens,ENSG00000074219,TEAD2,up_regulated,0.370802,0.0365293
HS12896,Homo sapiens,ENSG00000148700,ADD3,up_regulated,0.633484,3.93E-06
HS4179,Homo sapiens,ENSG00000142733,MAP3K6,up_regulated,0.578362,0.00706635
HS7921,Homo sapiens,ENSG00000104213,PDGFRL,up_regulated,1.36363,2.22E-09
HS13662,Homo sapiens,ENSG00000182463,TSHZ2,up_regulated,0.396043,0.0458799
HS14569,Homo sapiens,ENSG00000124357,NAGK,up_regulated,0.92649,4.57E-12
